"province_city","total_cases","province","latitude","longitude","elementary_school_count","kindergarten_count","university_count","academy_ratio","elderly_population_ratio","elderly_alone_ratio","nursing_home_count","province_avg_temp","province_avg_precip","province_avg_rel_hum"
"Seoul_Gangnam-gu",4,"Seoul",37.518421,127.047222,33,38,0,4.18,13.17,4.3,3088,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Gangseo-gu",1,"Seoul",37.551166,126.849506,36,56,1,1.17,14.39,5.7,1080,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Gwanak-gu",2,"Seoul",37.47829,126.951502,22,33,1,0.89,15.12,4.9,909,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Guro-gu",3,"Seoul",37.495632,126.88765,26,34,3,1,16.21,5.7,741,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Geumcheon-gu",1,"Seoul",37.456852,126.895229,18,19,0,0.96,16.15,6.7,475,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Dobong-gu",1,"Seoul",37.668952,127.047082,23,26,1,0.95,17.89,7.2,485,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Dongdaemun-gu",1,"Seoul",37.574552,127.039721,21,31,4,1.06,17.26,6.7,832,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Seodaemun-gu",1,"Seoul",37.579428,126.936771,19,25,6,1.12,16.77,6.2,587,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Seocho-gu",1,"Seoul",37.483804,127.032693,24,27,1,2.6,13.39,3.8,1465,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Seongdong-gu",1,"Seoul",37.563277,127.036647,21,30,2,0.97,14.76,5.3,593,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Yangcheon-gu",2,"Seoul",37.517189,126.866618,30,43,0,2.26,13.55,5.5,816,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Yeongdeungpo-gu",1,"Seoul",37.526505,126.89619,23,39,0,1.21,15.6,5.8,1001,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Yongsan-gu",1,"Seoul",37.532768,126.990021,15,13,1,0.68,16.87,6.5,435,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Eunpyeong-gu",1,"Seoul",37.603481,126.929173,31,44,1,1.09,17,6.5,874,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Jongno-gu",2,"Seoul",37.572999,126.979189,13,17,3,1.71,18.27,6.8,668,13.0379415347138,1.41461632155907,57.7298416565164
"Seoul_Jung-gu",3,"Seoul",37.563988,126.99753,12,14,2,0.94,18.42,7.4,728,13.0379415347138,1.41461632155907,57.7298416565164
"Busan_Dongnae-gu",1,"Busan",35.20506,129.083673,22,31,0,1.98,17.53,7.7,608,15.1687576126675,1.89147381242387,62.8419001218027
"Busan_Suyeong-gu",1,"Busan",35.145805,129.113194,10,22,0,1.56,20.4,8.2,395,15.1687576126675,1.89147381242387,62.8419001218027
"Busan_Haeundae-gu",1,"Busan",35.16336,129.163594,33,39,1,1.63,16.53,7.9,814,15.1687576126675,1.89147381242387,62.8419001218027
"Daegu_Nam-gu",1,"Daegu",35.8463,128.597723,11,15,2,0.85,22.49,10.4,345,13.536771490791,1.27795371498173,60.3358099878197
"Daegu_Dalseong-gun",2,"Daegu",35.77475,128.431314,32,47,1,1.51,12.11,5.4,361,13.536771490791,1.27795371498173,60.3358099878197
"Daegu_Dong-gu",1,"Daegu",35.886836,128.635537,32,58,0,1.15,18.81,9,649,13.536771490791,1.27795371498173,60.3358099878197
"Daegu_Seo-gu",1,"Daegu",35.871993,128.559182,17,23,0,0.83,21.29,10.1,374,13.536771490791,1.27795371498173,60.3358099878197
"Gwangju_Dong-gu",1,"Gwangju",35.14626,126.923133,11,18,3,2.88,21.59,8.8,327,14.487515225335,1.61546894031669,69.6210109622412
"Daejeon_Seo-gu",4,"Daejeon",36.35553,127.383755,39,78,3,1.81,12.05,4.9,1123,13.5433008526188,1.55913520097442,68.4129110840438
"Gyeonggi-do_Bucheon-si",1,"Gyeonggi-do",37.503393,126.766049,64,124,4,1.51,12.77,5.4,1432,12.7827040194884,1.484287454324,68.8682704019488
"Gyeonggi-do_Seongnam-si",3,"Gyeonggi-do",37.42,127.126703,72,127,3,2.08,13.52,5.6,2095,12.7827040194884,1.484287454324,68.8682704019488
"Gyeonggi-do_Suwon-si",2,"Gyeonggi-do",37.263376,127.028613,99,192,4,1.72,10.5,4.5,2082,12.7827040194884,1.484287454324,68.8682704019488
"Gyeonggi-do_Anyang-si",2,"Gyeonggi-do",37.394258,126.956752,41,79,4,1.86,12.88,5.1,1099,12.7827040194884,1.484287454324,68.8682704019488
"Gyeonggi-do_Uijeongbu-si",1,"Gyeonggi-do",37.738058,127.033716,33,62,1,1.59,14.61,6.4,729,12.7827040194884,1.484287454324,68.8682704019488
"Gangwon-do_Wonju-si",1,"Gangwon-do",37.341963,127.919668,50,71,4,1.71,14.46,6.7,597,13.8580998781973,1.45797807551766,55.6282582216809
"Chungcheongbuk-do_Goesan-gun",1,"Chungcheongbuk-do",36.81534,127.786651,14,15,1,0.36,33.01,16.5,64,13.536771490791,1.25021698698078,61.4755717959128
"Chungcheongnam-do_Seosan-si",1,"Chungcheongnam-do",36.784751,126.450289,29,39,1,1.3,18.01,8.4,261,13.536771490791,1.15978062157221,61.4755717959128
"Chungcheongnam-do_Cheonan-si",1,"Chungcheongnam-do",36.81498,127.113868,75,112,6,1.91,10.42,4.5,1069,13.536771490791,1.15978062157221,61.4755717959128
"Jeollanam-do_Muan-gun",1,"Jeollanam-do",34.990368,126.481653,18,21,2,2.12,20.82,11.8,141,14.8887332521315,1.84196102314251,61.4755717959128
"Gyeongsangbuk-do_Gyeongsan-si",3,"Gyeongsangbuk-do",35.825056,128.741544,31,61,10,1.34,16.18,7,427,13.536771490791,1.29287454323995,61.4755717959128
"Gyeongsangbuk-do_Gumi-si",1,"Gyeongsangbuk-do",36.119641,128.344295,50,104,3,1.96,9.08,4.3,616,13.536771490791,1.29287454323995,61.4755717959128
"Gyeongsangbuk-do_Bonghwa-gun",1,"Gyeongsangbuk-do",36.893099,128.732568,14,17,0,0.37,35.26,20,47,13.536771490791,1.29287454323995,61.4755717959128
"Gyeongsangbuk-do_Cheongdo-gun",1,"Gyeongsangbuk-do",35.647361,128.734382,11,14,0,0.63,36.55,21,85,13.536771490791,1.29287454323995,61.4755717959128
"Gyeongsangbuk-do_Chilgok-gun",1,"Gyeongsangbuk-do",35.995529,128.401735,21,32,2,1.48,15.17,6.7,151,13.536771490791,1.29287454323995,61.4755717959128
"Gyeongsangnam-do_Geochang-gun",2,"Gyeongsangnam-do",35.686526,127.910021,17,16,2,1.25,27.01,17.4,127,14.381790499391,1.86638246041413,64.3141291108404
"Gyeongsangnam-do_Yangsan-si",1,"Gyeongsangnam-do",35.335016,129.037057,37,68,2,1.59,12.92,6.2,507,14.381790499391,1.86638246041413,64.3141291108404
"Gyeongsangnam-do_Jinju-si",1,"Gyeongsangnam-do",35.180313,128.10875,45,53,6,2.49,16.27,8.6,597,14.381790499391,1.86638246041413,64.3141291108404
"Gyeongsangnam-do_Changnyeong-gun",1,"Gyeongsangnam-do",35.544603,128.49233,17,20,0,0.8,29.8,18.4,129,14.381790499391,1.86638246041413,64.3141291108404
"Gyeongsangnam-do_Changwon-si",1,"Gyeongsangnam-do",35.227992,128.681815,110,195,5,1.84,13.64,6.5,1701,14.381790499391,1.86638246041413,64.3141291108404
