"","province_city","province","total_cases","latitude","longitude","elementary_school_count","kindergarten_count","university_count","academy_ratio","elderly_population_ratio","elderly_alone_ratio","nursing_home_count","province_avg_temp","province_avg_precip","province_avg_rel_hum"
"90","Gyeonggi-do_Paju-si","Gyeonggi-do",16,37.759818,126.7799,57,98,1,1.34,13.52,5.3,573,12.7827040194884,1.484287454324,68.8682704019488
"91","Gyeonggi-do_Pyeongtaek-si","Gyeonggi-do",61,36.992293,127.112709,58,108,3,1.39,12.13,5.6,765,12.7827040194884,1.484287454324,68.8682704019488
"92","Gyeonggi-do_Pocheon-si","Gyeonggi-do",19,37.894881,127.200346,31,33,2,0.89,18.92,8.2,209,12.7827040194884,1.484287454324,68.8682704019488
"93","Gyeonggi-do_Hanam-si","Gyeonggi-do",12,37.53926,127.214944,20,34,0,1.16,12.43,4.8,381,12.7827040194884,1.484287454324,68.8682704019488
"94","Gyeonggi-do_Hwaseong-si","Gyeonggi-do",41,37.199536,126.83133,92,167,6,1.72,8.58,3.3,1001,12.7827040194884,1.484287454324,68.8682704019488
"95","Gangwon-do_Gangneung-si","Gangwon-do",9,37.75197,128.875928,34,36,4,1.9,20.46,9.6,347,13.8580998781973,1.45797807551766,55.6282582216809
"96","Gangwon-do_Samcheok-si","Gangwon-do",1,37.449899,129.165365,19,17,0,1.01,24.26,13,94,13.8580998781973,1.45797807551766,55.6282582216809
"97","Gangwon-do_Sokcho-si","Gangwon-do",3,38.207022,128.591861,12,11,0,1.54,18.33,9.7,165,13.8580998781973,1.45797807551766,55.6282582216809
"98","Gangwon-do_Yeongwol-gun","Gangwon-do",1,37.183694,128.461835,13,15,1,0.87,28.54,15.4,56,13.8580998781973,1.45797807551766,55.6282582216809
"99","Gangwon-do_Wonju-si","Gangwon-do",25,37.341963,127.919668,50,71,4,1.71,14.46,6.7,597,13.8580998781973,1.45797807551766,55.6282582216809
"100","Gangwon-do_Inje-gun","Gangwon-do",1,38.069682,128.170335,13,15,0,0.88,19.88,10.4,46,13.8580998781973,1.45797807551766,55.6282582216809
"101","Gangwon-do_Cheorwon-gun","Gangwon-do",11,38.146693,127.3134,16,12,0,1.14,21.8,11.1,70,13.8580998781973,1.45797807551766,55.6282582216809
"102","Gangwon-do_Chuncheon-si","Gangwon-do",10,37.881281,127.730088,40,43,5,1.5,17.1,7.6,472,13.8580998781973,1.45797807551766,55.6282582216809
"103","Gangwon-do_Taebaek-si","Gangwon-do",1,37.16406,128.985736,12,12,1,1.16,23.88,12.8,64,13.8580998781973,1.45797807551766,55.6282582216809
"104","Gangwon-do_Hoengseong-gun","Gangwon-do",1,37.491702,127.985042,16,13,2,0.97,28.22,13.3,69,13.8580998781973,1.45797807551766,55.6282582216809
"105","Chungcheongbuk-do_Goesan-gun","Chungcheongbuk-do",11,36.81534,127.786651,14,15,1,0.36,33.01,16.5,64,13.6487507798342,1.25021698698078,63.7191649208283
"106","Chungcheongbuk-do_Danyang-gun","Chungcheongbuk-do",1,36.984657,128.365476,11,11,0,0.5,29.52,15.8,52,13.6487507798342,1.25021698698078,63.7191649208283
"107","Chungcheongbuk-do_Okcheon-gun","Chungcheongbuk-do",1,36.306367,127.57128,12,17,1,0.63,28.83,14.9,107,13.6487507798342,1.25021698698078,63.7191649208283
"108","Chungcheongbuk-do_Eumseong-gun","Chungcheongbuk-do",7,36.940237,127.690502,21,24,2,0.88,20.33,9.2,169,13.6487507798342,1.25021698698078,63.7191649208283
"109","Chungcheongbuk-do_Jeungpyeong-gun","Chungcheongbuk-do",2,36.785301,127.581481,4,5,0,1.39,16.59,8.7,62,13.6487507798342,1.25021698698078,63.7191649208283
"110","Chungcheongbuk-do_Jincheon-gun","Chungcheongbuk-do",1,36.855374,127.435635,15,16,0,1.15,16.16,8.3,121,13.6487507798342,1.25021698698078,63.7191649208283
"111","Chungcheongbuk-do_Cheongju-si","Chungcheongbuk-do",20,36.641876,127.488759,92,131,8,1.67,12.82,6,1420,13.6487507798342,1.25021698698078,63.7191649208283
"112","Chungcheongbuk-do_Chungju-si","Chungcheongbuk-do",13,36.991009,127.925946,37,44,2,1.39,19.07,9,347,13.6487507798342,1.25021698698078,63.7191649208283
"113","Chungcheongnam-do_Gyeryong-si","Chungcheongnam-do",3,36.274481,127.248557,5,8,0,1.3,11.3,5.1,61,13.6487507798342,1.15978062157221,63.7191649208283
"114","Chungcheongnam-do_Gongju-si","Chungcheongnam-do",3,36.446508,127.11903,28,34,2,1.16,25.2,11.7,221,13.6487507798342,1.15978062157221,63.7191649208283
"115","Chungcheongnam-do_Nonsan-si","Chungcheongnam-do",6,36.187076,127.098959,33,32,2,1.03,25.54,13.4,262,13.6487507798342,1.15978062157221,63.7191649208283
"116","Chungcheongnam-do_Buyeo-gun","Chungcheongnam-do",13,36.275673,126.90979,24,27,1,0.79,33.3,17.4,137,13.6487507798342,1.15978062157221,63.7191649208283
"117","Chungcheongnam-do_Seosan-si","Chungcheongnam-do",9,36.784751,126.450289,29,39,1,1.3,18.01,8.4,261,13.6487507798342,1.15978062157221,63.7191649208283
"118","Chungcheongnam-do_Seocheon-gun","Chungcheongnam-do",1,36.080266,126.691394,18,18,0,0.97,35.25,18.9,116,13.6487507798342,1.15978062157221,63.7191649208283
"119","Chungcheongnam-do_Asan-si","Chungcheongnam-do",18,36.789844,127.00242,46,60,3,1.29,12.89,6.1,435,13.6487507798342,1.15978062157221,63.7191649208283
"120","Chungcheongnam-do_Cheonan-si","Chungcheongnam-do",110,36.81498,127.113868,75,112,6,1.91,10.42,4.5,1069,13.6487507798342,1.15978062157221,63.7191649208283
"121","Chungcheongnam-do_Taean-gun","Chungcheongnam-do",1,36.745577,126.29795,19,20,0,0.83,29.98,13.8,112,13.6487507798342,1.15978062157221,63.7191649208283
"122","Chungcheongnam-do_Hongseong-gun","Chungcheongnam-do",4,36.60126,126.660772,21,26,2,1.35,23.11,11.3,179,13.6487507798342,1.15978062157221,63.7191649208283
"123","Jeollabuk-do_Gunsan-si","Jeollabuk-do",4,35.967631,126.737011,56,67,5,2.04,18.07,8.8,494,13.7858099878197,1.39177831912302,71.7550548112059
"124","Jeollabuk-do_Gimje-si","Jeollabuk-do",3,35.803506,126.880507,36,40,0,1.11,30.89,17.9,188,13.7858099878197,1.39177831912302,71.7550548112059
"125","Jeollabuk-do_Iksan-si","Jeollabuk-do",2,35.948229,126.957792,60,83,2,2.18,18.85,9.3,556,13.7858099878197,1.39177831912302,71.7550548112059
"126","Jeollabuk-do_Jangsu-gun","Jeollabuk-do",1,35.647281,127.521204,8,8,0,0.58,32.87,19.1,44,13.7858099878197,1.39177831912302,71.7550548112059
"127","Jeollabuk-do_Jeonju-si","Jeollabuk-do",8,35.824069,127.14805,73,120,7,3.02,14.4,6.8,1381,13.7858099878197,1.39177831912302,71.7550548112059
"128","Jeollanam-do_Gwangyang-si","Jeollanam-do",1,34.940611,127.696142,28,37,2,1.63,12.65,6.8,210,14.8887332521315,1.84196102314251,63.7191649208283
"129","Jeollanam-do_Mokpo-si","Jeollanam-do",5,34.811809,126.392198,33,55,3,2.11,15.88,8.8,406,14.8887332521315,1.84196102314251,63.7191649208283
"130","Jeollanam-do_Muan-gun","Jeollanam-do",2,34.990368,126.481653,18,21,2,2.12,20.82,11.8,141,14.8887332521315,1.84196102314251,63.7191649208283
"131","Jeollanam-do_Suncheon-si","Jeollanam-do",2,34.950592,127.487396,42,61,3,1.94,15.2,8.3,452,14.8887332521315,1.84196102314251,63.7191649208283
"132","Jeollanam-do_Yeosu-si","Jeollanam-do",3,34.760421,127.662287,50,73,1,1.85,18.59,9.5,471,14.8887332521315,1.84196102314251,63.7191649208283
"133","Jeollanam-do_Hwasun-gun","Jeollanam-do",1,35.064456,126.986643,16,19,0,1.32,26.14,17.4,132,14.8887332521315,1.84196102314251,63.7191649208283
"134","Gyeongsangbuk-do_Gyeongsan-si","Gyeongsangbuk-do",638,35.825056,128.741544,31,61,10,1.34,16.18,7,427,13.6487507798342,1.29287454323995,63.7191649208283
"135","Gyeongsangbuk-do_Gyeongju-si","Gyeongsangbuk-do",52,35.856185,129.224796,43,61,4,1.34,21.66,11,407,13.6487507798342,1.29287454323995,63.7191649208283
"136","Gyeongsangbuk-do_Goryeong-gun","Gyeongsangbuk-do",10,35.72615,128.26295,9,9,0,0.62,30.17,15.9,62,13.6487507798342,1.29287454323995,63.7191649208283
"137","Gyeongsangbuk-do_Gumi-si","Gyeongsangbuk-do",78,36.119641,128.344295,50,104,3,1.96,9.08,4.3,616,13.6487507798342,1.29287454323995,63.7191649208283
"138","Gyeongsangbuk-do_Gunwi-gun","Gyeongsangbuk-do",6,36.242926,128.572939,7,8,0,0.25,38.87,21.6,41,13.6487507798342,1.29287454323995,63.7191649208283
"139","Gyeongsangbuk-do_Gimcheon-si","Gyeongsangbuk-do",24,36.139875,128.11365,27,37,2,0.89,22.35,12.2,212,13.6487507798342,1.29287454323995,63.7191649208283
"140","Gyeongsangbuk-do_Mungyeong-si","Gyeongsangbuk-do",4,36.586831,128.18709,17,26,1,1.18,29.25,17.1,147,13.6487507798342,1.29287454323995,63.7191649208283
"141","Gyeongsangbuk-do_Bonghwa-gun","Gyeongsangbuk-do",71,36.893099,128.732568,14,17,0,0.37,35.26,20,47,13.6487507798342,1.29287454323995,63.7191649208283
"142","Gyeongsangbuk-do_Sangju-si","Gyeongsangbuk-do",15,36.410977,128.159024,28,35,0,1.03,30.09,17.3,186,13.6487507798342,1.29287454323995,63.7191649208283
"143","Gyeongsangbuk-do_Seongju-gun","Gyeongsangbuk-do",23,35.919325,128.283237,12,15,0,0.59,30.89,15.9,84,13.6487507798342,1.29287454323995,63.7191649208283
"144","Gyeongsangbuk-do_Andong-si","Gyeongsangbuk-do",53,36.568441,128.729551,30,42,3,1.57,23.95,12.4,290,13.6487507798342,1.29287454323995,63.7191649208283
"145","Gyeongsangbuk-do_Yeongdeok-gun","Gyeongsangbuk-do",2,36.415059,129.366107,9,11,0,0.75,36.45,22.3,81,13.6487507798342,1.29287454323995,63.7191649208283
"146","Gyeongsangbuk-do_Yeongyang-gun","Gyeongsangbuk-do",2,36.666664,129.112401,6,8,0,0.35,36.36,21.1,24,13.6487507798342,1.29287454323995,63.7191649208283
"147","Gyeongsangbuk-do_Yeongju-si","Gyeongsangbuk-do",5,36.805702,128.623958,19,26,2,1.61,26.22,13.2,191,13.6487507798342,1.29287454323995,63.7191649208283
"148","Gyeongsangbuk-do_Yeongcheon-si","Gyeongsangbuk-do",37,35.973268,128.938603,18,23,1,0.83,27.32,15.3,192,13.6487507798342,1.29287454323995,63.7191649208283
"149","Gyeongsangbuk-do_Yecheon-gun","Gyeongsangbuk-do",44,36.646707,128.437435,12,15,1,1.09,29.79,18.4,97,13.6487507798342,1.29287454323995,63.7191649208283
"150","Gyeongsangbuk-do_Uiseong-gun","Gyeongsangbuk-do",41,36.352718,128.697088,16,16,0,0.32,40.26,23.7,108,13.6487507798342,1.29287454323995,63.7191649208283
"151","Gyeongsangbuk-do_Cheongdo-gun","Gyeongsangbuk-do",43,35.647361,128.734382,11,14,0,0.63,36.55,21,85,13.6487507798342,1.29287454323995,63.7191649208283
"152","Gyeongsangbuk-do_Cheongsong-gun","Gyeongsangbuk-do",2,36.436301,129.05708,8,8,0,0.51,36.08,19.4,55,13.6487507798342,1.29287454323995,63.7191649208283
"153","Gyeongsangbuk-do_Chilgok-gun","Gyeongsangbuk-do",51,35.995529,128.401735,21,32,2,1.48,15.17,6.7,151,13.6487507798342,1.29287454323995,63.7191649208283
"154","Gyeongsangbuk-do_Pohang-si","Gyeongsangbuk-do",53,36.019052,129.343645,66,117,4,1.51,16.44,8,877,13.6487507798342,1.29287454323995,63.7191649208283
"155","Gyeongsangnam-do_Geoje-si","Gyeongsangnam-do",13,34.880519,128.621216,38,58,1,1.76,10.22,4.7,317,14.381790499391,1.86638246041413,64.3141291108404
"156","Gyeongsangnam-do_Geochang-gun","Gyeongsangnam-do",19,35.686526,127.910021,17,16,2,1.25,27.01,17.4,127,14.381790499391,1.86638246041413,64.3141291108404
"157","Gyeongsangnam-do_Goseong-gun","Gyeongsangnam-do",2,34.972986,128.322246,19,18,0,1.3,30.17,18.2,89,14.381790499391,1.86638246041413,64.3141291108404
"158","Gyeongsangnam-do_Gimhae-si","Gyeongsangnam-do",14,35.228678,128.889352,58,91,4,2.1,10.74,5.3,711,14.381790499391,1.86638246041413,64.3141291108404
"159","Gyeongsangnam-do_Namhae-gun","Gyeongsangnam-do",1,34.837688,127.892595,13,10,1,1.03,36.92,23.3,88,14.381790499391,1.86638246041413,64.3141291108404
"160","Gyeongsangnam-do_Miryang-si","Gyeongsangnam-do",5,35.503827,128.746604,21,25,0,1.39,27.31,16.3,178,14.381790499391,1.86638246041413,64.3141291108404
"161","Gyeongsangnam-do_Sacheon-si","Gyeongsangnam-do",3,35.003668,128.064272,18,20,0,1.84,21.17,11.7,191,14.381790499391,1.86638246041413,64.3141291108404
"162","Gyeongsangnam-do_Sancheong-gun","Gyeongsangnam-do",1,35.415544,127.87349,13,11,0,0.65,35.42,20.6,72,14.381790499391,1.86638246041413,64.3141291108404
"163","Gyeongsangnam-do_Yangsan-si","Gyeongsangnam-do",8,35.335016,129.037057,37,68,2,1.59,12.92,6.2,507,14.381790499391,1.86638246041413,64.3141291108404
"164","Gyeongsangnam-do_Jinju-si","Gyeongsangnam-do",12,35.180313,128.10875,45,53,6,2.49,16.27,8.6,597,14.381790499391,1.86638246041413,64.3141291108404
"165","Gyeongsangnam-do_Changnyeong-gun","Gyeongsangnam-do",9,35.544603,128.49233,17,20,0,0.8,29.8,18.4,129,14.381790499391,1.86638246041413,64.3141291108404
"166","Gyeongsangnam-do_Changwon-si","Gyeongsangnam-do",31,35.227992,128.681815,110,195,5,1.84,13.64,6.5,1701,14.381790499391,1.86638246041413,64.3141291108404
"167","Gyeongsangnam-do_Haman-gun","Gyeongsangnam-do",1,35.272481,128.40654,16,20,0,1.19,23.74,14.7,94,14.381790499391,1.86638246041413,64.3141291108404
"168","Gyeongsangnam-do_Hamyang-gun","Gyeongsangnam-do",1,35.520541,127.725177,13,12,0,1.01,32.65,20.9,83,14.381790499391,1.86638246041413,64.3141291108404
"169","Gyeongsangnam-do_Hapcheon-gun","Gyeongsangnam-do",10,35.566702,128.16587,17,15,0,0.71,38.44,24.7,96,14.381790499391,1.86638246041413,64.3141291108404
"170","Jeju-do_Jeju-do","Jeju-do",18,33.488936,126.500423,113,123,4,1.53,15.1,6.4,1245,16.5352009744214,1.48812423873325,69.7836784409257
